filename	language	ner_annotations
CARMEN-I_IR_1	es	False
CARMEN-I_IA_SEGUIMIENTO_1	es	True
CARMEN-I_IA_ANTECEDENTES_1	es	False
CARMEN-I_IR_2	bi	False
CARMEN-I_IR_3	bi	False
CARMEN-I_IR_4	bi	False
CARMEN-I_IR_5	es	False
CARMEN-I_IT_ANTECEDENTES_1	bi	False
CARMEN-I_IR_6	es	False
CARMEN-I_IA_PROCESO_ACTUAL_1	es	False
CARMEN-I_IA_RADIOGRAFIA_1	es	True
CARMEN-I_IA_ANTECEDENTES_2	es	True
CARMEN-I_IR_7	es	False
CARMEN-I_IA_ANTECEDENTES_3	bi	True
CARMEN-I_IA_EVOL_1	es	False
CARMEN-I_IR_8	es	False
CARMEN-I_IA_RADIOGRAFIA_2	es	True
CARMEN-I_IA_EVOL_2	es	True
CARMEN-I_IA_RADIOGRAFIA_3	es	True
CARMEN-I_IR_9	es	False
CARMEN-I_IA_PROCESO_ACTUAL_2	es	False
CARMEN-I_IR_10	es	False
CARMEN-I_IR_11	bi	False
CARMEN-I_IR_12	es	False
CARMEN-I_IR_13	bi	False
CARMEN-I_IR_14	es	False
CARMEN-I_IR_15	es	False
CARMEN-I_IR_16	es	False
CARMEN-I_IR_17	es	False
CARMEN-I_IA_EVOL_3	es	True
CARMEN-I_IR_18	es	False
CARMEN-I_IT_EXPLORACION_CLINICA_1	es	False
CARMEN-I_IR_19	bi	False
CARMEN-I_IA_PROCESO_ACTUAL_3	es	False
CARMEN-I_IR_20	bi	False
CARMEN-I_IR_21	es	False
CARMEN-I_IA_PROCESO_ACTUAL_4	es	True
CARMEN-I_IR_22	bi	False
CARMEN-I_IR_23	es	False
CARMEN-I_IR_24	es	False
CARMEN-I_IR_25	es	False
CARMEN-I_IR_26	bi	False
CARMEN-I_IR_27	bi	False
CARMEN-I_IT_PROCESO_ACTUAL_1	es	False
CARMEN-I_IR_28	es	False
CARMEN-I_IR_29	es	False
CARMEN-I_IR_30	es	False
CARMEN-I_IR_31	bi	False
CARMEN-I_IR_32	es	False
CARMEN-I_IA_RADIOGRAFIA_4	es	True
CARMEN-I_IR_33	es	False
CARMEN-I_IA_ANTECEDENTES_4	es	True
CARMEN-I_IR_34	bi	False
CARMEN-I_IR_35	es	False
CARMEN-I_IR_36	es	False
CARMEN-I_IA_RADIOGRAFIA_5	es	True
CARMEN-I_IT_PROCESO_ACTUAL_2	es	False
CARMEN-I_IR_37	es	False
CARMEN-I_IR_38	es	False
CARMEN-I_IR_39	es	False
CARMEN-I_IA_EXPLORACION_COMPLEMENTARIA_1	bi	True
CARMEN-I_IR_40	es	False
CARMEN-I_IR_41	bi	False
CARMEN-I_IR_42	es	False
CARMEN-I_IA_EXPLORACION_CLINICA_1	es	False
CARMEN-I_IR_43	bi	False
CARMEN-I_IA_INTERVENCION_QUIRURGICA_1	es	True
